x,y,curvature
346500.942864,4070154.542344,0.0
346500.649017,4070154.264444,0.0
346500.35517,4070153.986543,0.0
346500.061323,4070153.708643,0.0
346499.767476,4070153.430742,0.0
346499.473629,4070153.152842,0.0
346499.179782,4070152.874942,0.0
346498.885935,4070152.597041,0.0
346498.592088,4070152.319141,0.0
346498.298241,4070152.041241,0.0
346498.004394,4070151.76334,0.0
346497.710547,4070151.48544,0.0
346497.4167,4070151.20754,0.0
346497.122853,4070150.929639,0.0
346496.829006,4070150.651739,0.0
346496.535159,4070150.373839,0.0
346496.241312,4070150.095938,0.0
346495.947465,4070149.818038,0.0
346495.653617,4070149.540137,0.0
346495.35977,4070149.262237,0.0
346495.065923,4070148.984337,0.0
346494.772076,4070148.706436,0.0
346494.478229,4070148.428536,0.0
346494.184382,4070148.150636,0.0
346493.890535,4070147.872735,0.0
346493.596688,4070147.594835,0.0
346493.302841,4070147.316935,0.0
346493.008994,4070147.039034,0.0
346492.715147,4070146.761134,0.0
346492.4213,4070146.483234,0.0
346492.127453,4070146.205333,0.0
346491.833606,4070145.927433,0.0
346491.539759,4070145.649532,0.0
346491.245912,4070145.371632,0.0
346490.952065,4070145.093732,0.0
346490.658218,4070144.815831,0.0
346490.36437,4070144.537931,0.0
346490.070523,4070144.260031,0.0
346489.776676,4070143.98213,0.0
346489.482829,4070143.70423,0.0
346489.188982,4070143.42633,0.0
346488.895135,4070143.148429,0.0
346488.601288,4070142.870529,0.0
346488.307441,4070142.592629,0.0
346488.013594,4070142.314728,0.0
346487.719747,4070142.036828,0.001168301837342813
346487.4259,4070141.758927,0.0022386205180575315
346487.132053,4070141.481027,0.0032205226968699727
346486.838206,4070141.203127,0.002819973336962212
346486.544359,4070140.925226,0.002449365588317878
346486.250512,4070140.647326,0.0021060691033041395
346485.956665,4070140.369426,0.0027376283732185457
346485.662818,4070140.091525,0.0033670914362330935
346485.368971,4070139.813625,0.003994669727969822
346485.075124,4070139.535725,0.002110004888153495
346484.708258,4070139.16129,0.0025760244838855784
346484.341392,4070138.786856,0.007091307723868361
346483.974526,4070138.412422,0.011442846572416149
346483.587098,4070138.053155,0.0235907943695113
346483.199671,4070137.693887,0.03579509113592401
346482.812243,4070137.33462,0.04789239248657729
346482.524266,4070137.043852,0.06560906988644795
