x,y,curvature
346491.673296,4070145.325148,0.0
346491.527252,4070145.186402,0.0
346491.381208,4070145.047657,0.0
346491.235164,4070144.908912,0.0
346491.089119,4070144.770166,0.0
346490.943075,4070144.631421,0.0
346490.797031,4070144.492676,0.0
346490.650986,4070144.35393,0.0
346490.504942,4070144.215185,0.0
346490.358898,4070144.07644,0.0
346490.212853,4070143.937694,0.0
346490.066809,4070143.798949,0.0
346489.920765,4070143.660204,0.0
346489.77472,4070143.521458,0.0
346489.628676,4070143.382713,0.0
346489.482632,4070143.243968,0.0
346489.336588,4070143.105222,0.0
346489.190543,4070142.966477,0.0
346489.044499,4070142.827731,0.0
346488.898455,4070142.688986,0.0
346488.75241,4070142.550241,0.0
346488.606366,4070142.411495,0.0
346488.460322,4070142.27275,0.0
346488.314277,4070142.134005,0.0
346488.168233,4070141.995259,0.0
346488.022189,4070141.856514,0.0
346487.876144,4070141.717769,0.0
346487.7301,4070141.579023,0.0
346487.584056,4070141.440278,0.0
346487.438011,4070141.301533,0.0
346487.291967,4070141.162787,0.0
346487.145923,4070141.024042,0.0
346486.999879,4070140.885296,0.0
346486.853834,4070140.746551,0.0
346486.70779,4070140.607806,0.0
346486.561746,4070140.46906,0.0
346486.415701,4070140.330315,0.0
346486.269657,4070140.19157,0.0
346486.123613,4070140.052824,0.0
346485.977568,4070139.914079,0.0
346485.831524,4070139.775334,0.0
346485.68548,4070139.636588,0.0
346485.539435,4070139.497843,0.0
346485.393391,4070139.359098,0.0
346485.247347,4070139.220352,0.0
346485.101303,4070139.081607,0.0
346484.955258,4070138.942861,0.0
346484.809214,4070138.804116,0.00936493669140166
346484.66317,4070138.665371,0.018784905151306278
346484.517125,4070138.526625,0.028248483678879017
346484.371081,4070138.38788,0.04297929249834495
346484.225037,4070138.249135,0.05687448630048341
346484.078992,4070138.110389,0.06994406197913673
346483.932948,4070137.971644,0.09048101310946717
346483.786904,4070137.832899,0.10822655897845034
346483.640859,4070137.694153,0.12561298136346677
346483.494815,4070137.555408,0.14177553957194206
346483.3262,4070137.447459,0.14206254875807692
346483.157586,4070137.339511,0.14102499606830604
346482.988971,4070137.231563,0.1350885167731868
346482.775593,4070137.11702,0.12703724626947355
346482.562214,4070137.002478,0.11941269221651474
346482.348836,4070136.887935,0.11871607624177527
346482.070133,4070136.781965,0.10696267889728604
346481.791429,4070136.675996,0.09706785858074156
346481.560863,4070136.598755,0.09108244306079485
346481.330297,4070136.521514,0.08578847568359756
346481.099731,4070136.444274,0.08724853088613498
346480.767471,4070136.339267,0.09337278716242284
346480.443738,4070136.211911,0.10754166658556602
346480.169797,4070136.122502,0.11842131426199981
346479.895855,4070136.033094,0.1297876393155883
346479.66007,4070135.996639,0.1289934410624284
346479.424285,4070135.960185,0.13691090925094937
346479.188499,4070135.923731,0.14474737241722407
346478.953312,4070135.920559,0.14373039543720292
346478.718124,4070135.917388,0.14257988118036824
346478.482937,4070135.914216,0.1413017416114743
346478.188774,4070135.941699,0.13230702350452606
346477.894611,4070135.969182,0.1148642647698293
346477.651096,4070135.999454,0.09852795879989366
346477.407581,4070136.029726,0.07908069147780013
346477.164066,4070136.059998,0.06716412591538148
346476.946207,4070136.110155,0.04778607212262402
346476.728348,4070136.160312,0.027736500451854895
346476.510489,4070136.210469,0.01276005197411096
346476.29263,4070136.260626,0.0025797465222721517
346476.074771,4070136.310783,0.018258066753426932
346475.856912,4070136.36094,0.03126653479687787
346475.563248,4070136.416159,0.0431705344162304
346475.269584,4070136.471378,0.05943315636096387
346475.031886,4070136.494147,0.06673754278246301
346474.794189,4070136.516916,0.07422990955854923
346474.556491,4070136.539685,0.07712675350932097
346474.351357,4070136.55262,0.07729871908213604
346474.146223,4070136.565556,0.07725493490491858
346473.941088,4070136.578491,0.08385209734887666
346473.735954,4070136.591427,0.09046658138312803
346473.530819,4070136.604362,0.09706689669279543
346473.325685,4070136.617297,0.11168777695882144
346473.103621,4070136.599093,0.11315418093106787
346472.881557,4070136.580889,0.11846135352575143
346472.659493,4070136.562684,0.12559126103955376
346472.437429,4070136.54448,0.13196884611950896
346472.215365,4070136.526276,0.14526895192149988
346471.993301,4070136.508071,0.15760188924951896
346471.798971,4070136.459774,0.15940368638123623
346471.604642,4070136.411477,0.1605575218469372
346471.410312,4070136.36318,0.16107851107342924
346471.188539,4070136.278383,0.14941520666441507
346470.966766,4070136.193586,0.1439930157917085
346470.744993,4070136.108789,0.14447537493122903
346470.51102,4070136.007564,0.14176801786508497
346470.277047,4070135.90634,0.1398198521597914
346470.060427,4070135.777059,0.12908687973667687
346469.843807,4070135.647778,0.11902130457525181
346469.653899,4070135.514317,0.11014152296119488
346469.463991,4070135.380857,0.10450987844651424
346469.274083,4070135.247396,0.09898984365108966
346469.030087,4070135.085313,0.0969293888287889
346468.786091,4070134.923231,0.09567117690149979
346468.631954,4070134.792826,0.08449382744137168
346468.477817,4070134.662422,0.07637327305114984
346468.32368,4070134.532018,0.06753302091079713
346468.178336,4070134.394057,0.05978120456138025
346468.032992,4070134.256096,0.05141551968964048
346467.887648,4070134.118136,0.04617280433687867
346467.700973,4070133.91618,0.03261402249093595
346467.514299,4070133.714224,0.019008949900331105
346467.341844,4070133.558254,0.012574702937565782
346467.16939,4070133.402284,0.00547263728429414
346466.996935,4070133.246314,0.006101635727579205
346466.853088,4070133.106671,0.0032226807501641768
346466.709241,4070132.967029,0.0
346466.565394,4070132.827386,0.0
346466.421547,4070132.687744,0.0
346466.2777,4070132.548101,0.001071468951016481
346466.133853,4070132.408458,0.0021464902081496074
346465.990006,4070132.268816,0.005713176061479599
346465.846159,4070132.129173,0.003897932017335449
346465.702313,4070131.989531,0.001995089800986542
346465.558466,4070131.849888,0.0
346465.414619,4070131.710245,0.0
346465.270772,4070131.570603,0.0
346465.126925,4070131.43096,0.0
346464.983078,4070131.291318,0.0
346464.839231,4070131.151675,0.0
346464.695384,4070131.012032,0.0
346464.551537,4070130.87239,0.0
346464.40769,4070130.732747,0.0
346464.263843,4070130.593105,0.0
346464.119996,4070130.453462,0.0
346463.976149,4070130.313819,0.0
346463.832302,4070130.174177,0.0
346463.688455,4070130.034534,0.0
346463.544608,4070129.894892,0.0
346463.400761,4070129.755249,0.0
346463.256914,4070129.615606,0.0
346463.113067,4070129.475964,0.0
346462.96922,4070129.336321,0.0
346462.825374,4070129.196678,0.0
346462.681527,4070129.057036,0.0
346462.53768,4070128.917393,0.0
346462.393833,4070128.777751,0.0
346462.249986,4070128.638108,0.0
346462.106139,4070128.498465,0.0
346461.962292,4070128.358823,0.0
346461.818445,4070128.21918,0.0
346461.674598,4070128.079538,0.0
346461.530751,4070127.939895,0.0
346461.386904,4070127.800252,0.0
346461.243057,4070127.66061,0.0
346461.09921,4070127.520967,0.0
346460.955363,4070127.381325,0.0
346460.811516,4070127.241682,0.0
346460.667669,4070127.102039,0.0
346460.523822,4070126.962397,0.0
346460.379975,4070126.822754,0.0
346460.236128,4070126.683112,0.0
346460.092281,4070126.543469,0.0
346459.948434,4070126.403826,0.0
346459.804588,4070126.264184,0.0
346459.660741,4070126.124541,0.0
346459.516894,4070125.984899,0.0
346459.373047,4070125.845256,0.0
346459.2292,4070125.705613,0.0
346459.085353,4070125.565971,0.0
346458.941506,4070125.426328,0.0
346458.797659,4070125.286685,0.0
346458.653812,4070125.147043,0.0
346458.509965,4070125.0074,0.0
346458.366118,4070124.867758,0.0
346458.222271,4070124.728115,0.0
346458.078424,4070124.588472,0.0
346457.934577,4070124.44883,0.0
346457.79073,4070124.309187,0.0
346457.646883,4070124.169545,0.0
346457.503036,4070124.029902,0.0
346457.359189,4070123.890259,0.0
346457.215342,4070123.750617,0.0
346457.071495,4070123.610974,0.0
346456.927649,4070123.471332,0.0
346456.783802,4070123.331689,0.0
346456.639955,4070123.192046,0.001178875576392393
346456.496108,4070123.052404,0.0013728995702746657
346456.352261,4070122.912761,0.001566237148627962
346456.208414,4070122.773119,0.0017587083305266808
346456.064567,4070122.633476,0.0019506690239523656
346455.918444,4070122.492736,0.0017524432804083758
346455.77232,4070122.351996,0.0015551036021433113
346455.626197,4070122.211256,0.0013582852792765516
346455.480074,4070122.070516,0.0011621718378447721
346455.333951,4070121.929776,0.0
346455.187828,4070121.789036,0.0
346455.041704,4070121.648296,0.0
346454.895581,4070121.507556,0.0
346454.749458,4070121.366816,0.0
346454.603335,4070121.226076,0.0
346454.457212,4070121.085336,0.0
346454.311088,4070120.944597,0.0
346454.164965,4070120.803857,0.0
346454.018842,4070120.663117,0.0
346453.872719,4070120.522377,0.0
346453.726596,4070120.381637,0.0
