x,y,curvature,mission_tag,mission_param
346483.351929,4070137.607357,0.050564,DRIVING,1.940000
346483.041087,4070137.357932,0.063854,DRIVING,1.940000
346482.726517,4070137.118374,0.078019,DRIVING,1.940000
346482.407609,4070136.890647,0.093131,DRIVING,1.940000
346482.083755,4070136.676716,0.109172,DRIVING,1.940000
346481.754346,4070136.478545,0.125983,DRIVING,1.940000
346481.418774,4070136.298098,0.143217,DRIVING,1.940000
346481.076430,4070136.137341,0.160294,DRIVING,1.940000
346480.726705,4070135.998237,0.176375,DRIVING,1.940000
346480.368991,4070135.882751,0.190397,DRIVING,1.940000
346480.002680,4070135.792847,0.201178,DRIVING,1.940000
346479.627162,4070135.730490,0.207610,DRIVING,1.940000
346479.241957,4070135.697238,0.180971,DRIVING,1.940000
346478.847688,4070135.691143,0.146737,DRIVING,1.940000
346478.445542,4070135.708471,0.115942,DRIVING,1.940000
346478.036708,4070135.745474,0.088699,DRIVING,1.940000
346477.622378,4070135.798402,0.064592,DRIVING,1.940000
346477.203742,4070135.863508,0.042964,DRIVING,1.940000
346476.781990,4070135.937043,0.023080,DRIVING,1.940000
346476.358312,4070136.015259,0.004193,DRIVING,1.940000
346475.933901,4070136.094406,0.014428,DRIVING,1.940000
346475.509945,4070136.170736,0.033502,DRIVING,1.940000
346475.087636,4070136.240502,0.053742,DRIVING,1.940000
346474.668163,4070136.299953,0.075841,DRIVING,1.940000
346474.252718,4070136.345342,0.100437,DRIVING,1.940000
346473.842491,4070136.372920,0.128005,DRIVING,1.940000
346473.438673,4070136.378939,0.158662,DRIVING,1.940000
346473.042444,4070136.359681,0.180065,DRIVING,1.940000
346472.654406,4070136.313415,0.175606,DRIVING,1.940000
346472.274244,4070136.241533,0.168110,DRIVING,1.940000
346471.901565,4070136.145706,0.158212,DRIVING,1.940000
346471.535972,4070136.027601,0.146615,DRIVING,1.940000
346471.177073,4070135.888887,0.133990,DRIVING,1.940000
346470.824471,4070135.731234,0.120913,DRIVING,1.940000
346470.477774,4070135.556309,0.107827,DRIVING,1.940000
346470.136587,4070135.365783,0.095040,DRIVING,1.940000
346469.800514,4070135.161322,0.082740,DRIVING,1.940000
346469.469163,4070134.944596,0.071017,DRIVING,1.940000
346469.142137,4070134.717275,0.059885,DRIVING,1.940000
346468.819043,4070134.481025,0.049301,DRIVING,1.940000
346468.499486,4070134.237517,0.039185,DRIVING,1.940000
346468.183071,4070133.988420,0.029432,DRIVING,1.940000
346467.869405,4070133.735401,0.019914,DRIVING,1.940000
346467.558111,4070133.480026,0.016817,DRIVING,1.940000
346467.248973,4070133.222896,0.016086,DRIVING,1.940000
346466.941868,4070132.964081,0.015339,DRIVING,1.940000
346466.636672,4070132.703643,0.014579,DRIVING,1.940000
346466.333261,4070132.441649,0.013806,DRIVING,1.940000
346466.031512,4070132.178161,0.013023,DRIVING,1.940000
346465.731302,4070131.913244,0.012229,DRIVING,1.940000
346465.432506,4070131.646963,0.011427,DRIVING,1.940000
346465.135001,4070131.379381,0.010618,DRIVING,1.940000
346464.838664,4070131.110564,0.009803,DRIVING,1.940000
346464.543371,4070130.840575,0.008983,DRIVING,1.940000
346464.248999,4070130.569478,0.008159,DRIVING,1.940000
346463.955423,4070130.297338,0.007332,DRIVING,1.940000
346463.662522,4070130.024218,0.006814,DRIVING,1.940000
346463.370232,4070129.750169,0.006595,DRIVING,1.940000
346463.078539,4070129.475228,0.006378,DRIVING,1.940000
346462.787434,4070129.199432,0.006163,DRIVING,1.940000
346462.496905,4070128.922816,0.005948,DRIVING,1.940000
346462.206945,4070128.645418,0.005736,DRIVING,1.940000
346461.917541,4070128.367275,0.005524,DRIVING,1.940000
346461.628685,4070128.088423,0.005313,DRIVING,1.940000
346461.340366,4070127.808898,0.005104,DRIVING,1.940000
346461.052573,4070127.528738,0.004896,DRIVING,1.940000
346460.765298,4070127.247979,0.004688,DRIVING,1.940000
346460.478530,4070126.966657,0.004482,DRIVING,1.940000
346460.192259,4070126.684810,0.004276,DRIVING,1.940000
346459.906475,4070126.402473,0.004071,DRIVING,1.940000
346459.621167,4070126.119685,0.003867,DRIVING,1.940000
346459.336327,4070125.836480,0.003663,DRIVING,1.940000
346459.051942,4070125.552896,0.003460,DRIVING,1.940000
346458.768005,4070125.268970,0.003257,DRIVING,1.940000
346458.484504,4070124.984737,0.003055,DRIVING,1.940000
346458.201430,4070124.700236,0.002853,DRIVING,1.940000
346457.918772,4070124.415502,0.002651,DRIVING,1.940000
346457.636520,4070124.130571,0.002449,DRIVING,1.940000
346457.354665,4070123.845482,0.002247,DRIVING,1.940000
346457.073196,4070123.560270,0.002046,DRIVING,1.940000
346456.792103,4070123.274972,0.001844,DRIVING,1.940000
346456.511377,4070122.989624,0.001642,DRIVING,1.940000
346456.231006,4070122.704264,0.001439,DRIVING,1.940000
346455.950982,4070122.418927,0.001223,DRIVING,1.940000
346455.671269,4070122.133664,0.000078,DRIVING,1.940000
346455.391740,4070121.848570,0.001070,DRIVING,1.940000
346455.112244,4070121.563753,0.002221,DRIVING,1.940000
346454.832632,4070121.279322,0.003374,DRIVING,1.940000
346454.552751,4070120.995384,0.004529,DRIVING,1.940000
346454.272453,4070120.712047,0.005685,DRIVING,1.940000
346453.991587,4070120.429419,0.006840,DRIVING,1.940000
346453.710003,4070120.147609,0.007994,DRIVING,1.940000
346453.427550,4070119.866723,0.009145,DRIVING,1.940000
346453.144077,4070119.586871,0.010294,DRIVING,1.940000
346452.859435,4070119.308159,0.011438,DRIVING,1.940000
346452.573473,4070119.030696,0.012577,DRIVING,1.940000
346452.286041,4070118.754590,0.013709,DRIVING,1.940000
346451.996989,4070118.479949,0.014833,DRIVING,1.940000
346451.706165,4070118.206880,0.015947,DRIVING,1.940000
346451.413420,4070117.935492,0.017050,DRIVING,1.940000
346451.118604,4070117.665893,0.018140,DRIVING,1.940000
346450.821566,4070117.398190,0.019215,DRIVING,1.940000
346450.522155,4070117.132491,0.020273,DRIVING,1.940000
346450.220221,4070116.868905,0.021311,DRIVING,1.940000
346449.915615,4070116.607539,0.022329,DRIVING,1.940000
346449.608185,4070116.348501,0.023323,DRIVING,1.940000
346449.297782,4070116.091899,0.024291,DRIVING,1.940000
346448.984254,4070115.837841,0.025231,DRIVING,1.940000
346448.667452,4070115.586436,0.026139,DRIVING,1.940000
346448.347225,4070115.337790,0.027015,DRIVING,1.940000
346448.023423,4070115.092012,0.027854,DRIVING,1.940000
346447.695908,4070114.849315,0.032615,DRIVING,1.940000
346447.364620,4070114.610588,0.038263,DRIVING,1.940000
346447.029533,4070114.376995,0.044116,DRIVING,1.940000
346446.690619,4070114.149697,0.050230,DRIVING,1.940000
346446.347850,4070113.929857,0.056648,DRIVING,1.940000
346446.001200,4070113.718639,0.063408,DRIVING,1.940000
346445.650640,4070113.517205,0.070534,DRIVING,1.940000
346445.296145,4070113.326716,0.078031,DRIVING,1.940000
346444.937685,4070113.148338,0.085883,DRIVING,1.940000
346444.575235,4070112.983231,0.094042,DRIVING,1.940000
346444.208767,4070112.832558,0.102426,DRIVING,1.940000
346443.838254,4070112.697483,0.110905,DRIVING,1.940000
346443.463667,4070112.579169,0.119301,DRIVING,1.940000
346443.084980,4070112.478776,0.127382,DRIVING,1.940000
346442.702166,4070112.397470,0.134869,DRIVING,1.940000
346442.315198,4070112.336411,0.141365,DRIVING,1.940000
346441.924372,4070112.296624,0.141322,DRIVING,1.940000
346441.531237,4070112.278592,0.142653,DRIVING,1.940000
346441.137645,4070112.282671,0.145323,DRIVING,1.940000
346440.745446,4070112.309215,0.149301,DRIVING,1.940000
346440.356492,4070112.358578,0.154543,DRIVING,1.940000
346439.972633,4070112.431116,0.160987,DRIVING,1.940000
346439.595721,4070112.527183,0.168523,DRIVING,1.940000
346439.227605,4070112.647133,0.176982,DRIVING,1.940000
346438.870139,4070112.791321,0.186101,DRIVING,1.940000
346438.525171,4070112.960102,0.195504,DRIVING,1.940000
346438.194554,4070113.153830,0.204685,DRIVING,1.940000
346437.880138,4070113.372861,0.213009,DRIVING,1.940000
346437.583774,4070113.617548,0.219745,DRIVING,1.940000
346437.307313,4070113.888246,0.224137,DRIVING,1.940000
346437.052321,4070114.185057,0.191227,DRIVING,1.940000
346436.816861,4070114.504984,0.142106,DRIVING,1.940000
346436.596645,4070114.842950,0.097470,DRIVING,1.940000
346436.387344,4070115.193839,0.056962,DRIVING,1.940000
346436.184627,4070115.552535,0.019217,DRIVING,1.940000
346435.984163,4070115.913923,0.017538,DRIVING,1.940000
346435.781623,4070116.272887,0.055180,DRIVING,1.940000
346435.572676,4070116.624313,0.093116,DRIVING,1.940000
346435.354049,4070116.964388,0.084161,DRIVING,1.940000
346435.126145,4070117.293836,0.073823,DRIVING,1.940000
346434.890163,4070117.614360,0.062422,DRIVING,1.940000
346434.647301,4070117.927665,0.050261,DRIVING,1.940000
346434.398757,4070118.235456,0.037612,DRIVING,1.940000
346434.145732,4070118.539437,0.024707,DRIVING,1.940000
346433.889416,4070118.841302,0.015601,DRIVING,1.940000
346433.630631,4070119.142143,0.014371,DRIVING,1.940000
346433.369608,4070119.442102,0.013162,DRIVING,1.940000
346433.106533,4070119.741242,0.011973,DRIVING,1.940000
346432.841588,4070120.039623,0.010802,DRIVING,1.940000
346432.574956,4070120.337307,0.009647,DRIVING,1.940000
346432.306821,4070120.634356,0.008507,DRIVING,1.940000
346432.037365,4070120.930830,0.007379,DRIVING,1.940000
